N,STA_SEQ,SName
4,15192,Honeypot Brook US
5,15193,Honeypot Brook DS
3,15244,Cobble Brook
2,16046,Chidsey Brook
7,18513,Womenshenuck Brook
6,19141,Mill River
1,19657,Bunnell Brook
